,Pneumoccocal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%),Pneumoccocal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%),Pneumoccocal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%),Pneumoccocal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%),Pneumoccocal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%),Pneumoccocal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%),Pneumoccocal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%),Pneumoccocal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%),Pneumoccocal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%),Pneumoccocal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%)
Country,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Afghanistan,65,65,65,40,,,,,,
Albania,99,98,99,99,99,99,99,,,
Algeria,89,61,,,,,,,,
Andorra,98,92,92,93,,,,,,
Angola,59,59,58,45,9,,,,,
Argentina,76,82,82,89,86,41,,,,
Armenia,94,94,44,,,,,,,
Australia,94,94,93,91,91,91,91,91,91,91
Azerbaijan,96,97,94,64,,,,,,
Bahamas,93,94,95,96,97,37,1,1,3,
Bahrain,97,99,98,98,99,99,99,99,96,14
Bangladesh,97,97,48,,,,,,,
Barbados,89,96,97,90,87,84,81,78,75,
Belgium,94,94,94,93,93,93,,,,
Benin,75,75,75,71,70,67,36,,,
Bolivia (Plurinational State of),83,87,86,56,,,,,,
Botswana,89,91,93,95,72,52,,,,
Brazil,84,84,94,93,94,88,82,24,,
Bulgaria,91,90,90,92,94,94,94,69,,
Burkina Faso,91,91,91,91,,,,,,
Burundi,91,94,94,95,96,96,14,,,
Cambodia,82,87,68,,,,,,,
Cameroon,84,84,85,87,88,84,23,,,
Canada,80,79,79,79,79,73,66,58,50,42
Central African Republic,47,47,47,47,23,47,8,,,
Chile,93,92,90,92,79,82,54,,,
Colombia,91,89,91,89,87,84,46,22,,
Congo,66,67,80,85,85,10,,,,
Costa Rica,96,94,94,83,94,89,68,94,48,
Côte d'Ivoire,99,99,99,2,,,,,,
Cyprus,81,81,81,,,,,,,
Democratic Republic of the Congo,79,77,73,61,31,13,9,,,
Denmark,97,94,91,93,90,93,90,88,86,
Djibouti,68,68,82,78,82,,,,,
Dominican Republic,64,30,22,27,,,,,,
Ecuador,84,84,81,86,90,94,71,17,,
El Salvador,87,90,98,86,92,94,98,69,,
Eritrea,95,95,95,,,,,,,
Eswatini,87,90,90,67,,,,,,
Ethiopia,68,69,68,55,48,30,12,,,
Fiji,99,99,99,99,87,,,,,
Finland,85,87,92,92,92,92,92,92,,
France,92,92,91,89,89,89,89,89,,
Gambia,90,95,97,96,96,98,95,99,,
Georgia,80,75,16,,,,,,,
Germany,84,84,84,84,84,84,84,86,85,68
Ghana,99,93,88,99,89,43,,,,
Greece,96,96,96,96,32,32,,,,
Guatemala,84,81,82,51,24,,,,,
Guinea-Bissau,87,80,10,,,,,,,
Guyana,97,92,94,97,96,90,50,,,
Honduras,97,97,97,97,97,97,97,,,
Hungary,99,98,91,93,92,90,84,,,
Iceland,88,90,91,90,88,86,,,,
Iraq,33,,,,,,,,,
Ireland,91,91,92,92,91,91,90,43,,
Israel,94,93,94,94,94,93,92,,,
Italy,91,90,89,87,87,82,76,71,66,60
Japan,99,99,96,98,98,98,98,,,
Kazakhstan,98,97,74,58,52,37,,,,
Kenya,71,78,75,81,75,82,85,,,
Kiribati,91,79,74,57,40,,,,,
Kuwait,99,99,99,94,99,99,99,98,99,99
Kyrgyzstan,88,,,,,,,,,
Lao People's Democratic Republic,83,78,77,72,,,,,,
Latvia,87,82,82,83,83,55,76,,,
Lebanon,68,,,,,,,,,
Lesotho,93,93,29,,,,,,,
Liberia,86,79,56,45,,,,,,
Libya,94,96,71,39,,,,,,
Lithuania,82,82,,,,,,,,
Luxembourg,95,95,95,95,95,95,86,86,86,86
Madagascar,74,76,69,72,76,,,,,
Malawi,88,83,88,87,89,99,,,,
Mali,57,57,57,57,59,58,56,,,
Marshall Islands,72,65,75,29,38,46,35,24,49,
Mauritania,77,73,71,71,1,,,,,
Mauritius,84,10,,,,,,,,
Mexico,91,92,93,94,84,99,98,92,46,14
Micronesia (Federated States of),65,63,67,64,61,60,63,70,,
Mongolia,13,,,,,,,,,
Morocco,99,98,95,90,80,72,23,1,,
Mozambique,80,80,80,73,45,,,,,
Myanmar,89,14,,,,,,,,
Namibia,67,84,81,,,,,,,
Nepal,80,46,5,,,,,,,
Netherlands,93,94,94,95,96,96,96,96,96,
New Zealand,94,93,93,93,93,92,92,89,87,
Nicaragua,98,98,98,98,98,98,61,,,
Niger,80,76,49,13,,,,,,
Nigeria,36,36,36,,,,,,,
Niue,99,99,99,99,99,99,99,99,99,
Norway,94,94,93,91,93,93,92,91,91,86
Oman,99,99,98,98,99,99,99,99,96,
Pakistan,75,75,72,68,65,,,,,
Palau,89,98,95,93,93,82,61,45,18,7
Panama,90,83,82,75,68,62,55,48,,
Papua New Guinea,44,20,20,,,,,,,
Paraguay,93,99,90,86,90,82,,,,
Peru,80,86,90,86,85,89,82,83,9,
Philippines,61,36,17,35,,,,,,
Portugal,96,73,,,,,,,,
Qatar,98,97,95,94,99,92,98,97,99,
Republic of Korea,98,98,97,,,,,,,
Republic of Moldova,78,77,71,28,1,,,,,
Russian Federation,70,35,,,,,,,,
Rwanda,98,98,98,98,98,98,97,97,,
San Marino,53,53,,,,,,,,
Sao Tome and Principe,95,96,96,95,97,,,,,
Saudi Arabia,98,98,98,98,98,98,98,98,98,
Senegal,92,93,89,81,,,,,,
Sierra Leone,90,84,86,83,92,92,75,,,
Singapore,83,78,75,68,60,52,40,22,17,
Slovakia,96,96,96,96,98,99,99,99,99,
Slovenia,55,50,49,,,,,,,
Solomon Islands,81,87,42,,,,,,,
South Africa,60,69,77,72,69,70,62,58,10,
Sudan,95,93,93,97,30,,,,,
Sweden,96,96,96,96,97,97,98,98,98,60
Switzerland,83,80,80,80,75,62,50,37,25,13
Togo,90,89,86,34,,,,,,
Trinidad and Tobago,93,91,93,95,80,39,,,,
Turkey,96,98,97,96,97,97,96,93,97,
Uganda,81,77,64,60,,,,,,
United Arab Emirates,96,99,99,99,98,96,95,94,,
United Kingdom of Great Britain and Northern Ireland,92,92,93,93,93,92,90,89,,
United Republic of Tanzania,97,96,95,93,80,,,,,
United States of America,93,93,93,93,92,92,94,93,93,93
Uruguay,94,94,94,95,93,93,92,91,,
Uzbekistan,99,99,,,,,,,,
Venezuela (Bolivarian Republic of),,7,24,,,,,,,
Yemen,68,71,69,73,73,67,41,,,
Zambia,94,90,81,77,,,,,,
Zimbabwe,89,90,87,91,95,21,,,,
